Step,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,neutrons_per_cycle,power_normalization_value,DEM_step_increment,threshold_fuel,time_step
0,0.0,0.0,,,,,,50000,10000000.0,1,72,0.0
1,12.512,0.0500079936051159,1563.0,382.0,0.993459437705168,0.0005865244337202,0.000582688234124,50000,10000000.0,1,72,0.0
2,25.024,0.1000159872102318,1563.0,358.0,0.9963943350399578,0.0005633473815904,0.0005613161396763,50000,10000000.0,1,72,12.512
3,37.536,0.1500239808153477,1563.0,389.0,0.996537306544116,0.0005543085803868,0.000552389179693,50000,10000000.0,1,72,12.512
4,50.048,0.2000319744204636,1563.0,388.0,1.0002579070235351,0.0005894381084147,0.0005895901286428,50000,10000000.0,1,72,12.512
5,62.56,0.2500399680255795,1563.0,354.0,1.000746614820157,0.000572324577732,0.0005727518837436,50000,10000000.0,1,72,12.512
6,75.072,0.3000479616306954,1563.0,338.0,1.001109821359068,0.0005735764948458,0.0005742130622908,50000,10000000.0,1,72,12.512
7,87.58399999999999,0.3500559552358113,1563.0,345.0,1.002662405114429,0.0005924618989573,0.0005940392725472,50000,10000000.0,1,72,12.512
8,100.096,0.4000639488409273,1563.0,345.0,1.003083554406253,0.0005475128668262,0.0005492011525391,50000,10000000.0,1,72,12.512
9,112.60800000000002,0.4500719424460432,1563.0,351.0,1.003648758099728,0.0005366665436438,0.0005386247100418,50000,10000000.0,1,72,12.512
10,125.12000000000002,0.5000799360511592,1563.0,308.0,1.0059269791100185,0.0005624350309993,0.0005657685716788,50000,10000000.0,1,72,12.512
11,137.63200000000003,0.5500879296562751,1563.0,357.0,1.0060820609450385,0.0005573834463651,0.0005607734864556,50000,10000000.0,1,72,12.512
12,150.14400000000003,0.600095923261391,1563.0,324.0,1.0057492760347884,0.00056049624555,0.0005637186931822,50000,10000000.0,1,72,12.512
13,162.65600000000003,0.650103916866507,1563.0,317.0,1.007488561783922,0.0005846888655769,0.0005890673442711,50000,10000000.0,1,72,12.512
14,175.16800000000006,0.7001119104716229,1563.0,311.0,1.007283749819167,0.0005559939569091,0.0005600436777922,50000,10000000.0,1,72,12.512
15,187.6800000000001,0.7501199040767389,1563.0,310.0,1.0077583178272462,0.0005527661489245,0.000557054684392,50000,10000000.0,1,72,12.512
16,200.1920000000001,0.8001278976818548,1563.0,329.0,1.0077083128225035,0.0005591001307647,0.0005634098494718,50000,10000000.0,1,72,12.512
17,212.7040000000001,0.8501358912869706,1563.0,308.0,1.0074560765679932,0.00056970231005,0.0005739500540947,50000,10000000.0,1,72,12.512
18,225.2160000000001,0.9001438848920866,1563.0,323.0,1.0080629484845351,0.0005413579849382,0.0005457229264824,50000,10000000.0,1,72,12.512
19,237.7280000000001,0.9501518784972024,1563.0,319.0,1.0076757092420516,0.000569878669272,0.0005742528922405,50000,10000000.0,1,72,12.512
20,250.2400000000001,1.0001598721023184,1563.0,313.0,1.0096171082863716,0.0005865195678741,0.0005921601900705,50000,10000000.0,1,72,12.512
