,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,power_normalization_value,threshold
0,7020,32.5,,,0.968281685,0.000307848,0.000298084,6000000,72
1,7030.8,32.55,1350,266,0.97098439,0.000296103,0.000287512,6000000,72
2,7041.6,32.6,1350,275,0.976575943,0.000290136,0.00028334,6000000,72
3,7052.4,32.65,1350,290,0.979175113,0.000294723,0.000288586,6000000,72
4,7063.2,32.7,1350,252,0.981468054,0.000282694,0.000277455,6000000,72
5,7074,32.75,1350,253,0.982681053,0.000289698,0.00028468,6000000,72
6,7084.8,32.8,1350,251,0.984342356,0.000294431,0.000289821,6000000,72
7,7095.6,32.85,1350,219,0.98491916,0.000291846,0.000287444,6000000,72
8,7106.4,32.9,1350,242,0.98619217,0.000300332,0.000296185,6000000,72
9,7117.2,32.95,1350,220,0.987026647,0.000278318,0.000274707,6000000,72
10,7128,33,1350,215,0.987398245,0.000285701,0.0002821,6000000,72
11,7138.8,33.05,1350,221,0.988497234,0.000298467,0.000295034,6000000,72
12,7149.6,33.1,1350,212,0.989772975,0.000278997,0.000276143,6000000,72
13,7160.4,33.15,1350,187,0.989604075,0.000280453,0.000277538,6000000,72
14,7171.2,33.2,1350,167,0.990548342,0.000282521,0.000279851,6000000,72
15,7182,33.25,1350,171,0.989484753,0.000270243,0.000267401,6000000,72
16,7192.8,33.3,1350,180,0.989409153,0.000280076,0.00027711,6000000,72
17,7203.6,33.35,1350,185,0.98885402,0.000271377,0.000268353,6000000,72
18,7214.4,33.4,1350,172,0.989619638,0.000289511,0.000286506,6000000,72
19,7225.2,33.45,1350,180,0.989390017,0.000277933,0.000274984,6000000,72
20,7236,33.5,1350,170,0.989801438,0.000288489,0.000285547,6000000,72
21,7246.8,33.55,1350,163,0.989900124,0.000295325,0.000292342,6000000,72
22,7257.6,33.6,1350,187,0.988351924,0.000284199,0.000280889,6000000,72
23,7268.4,33.65,1350,189,0.988743753,0.000295301,0.000291977,6000000,72
24,7279.2,33.7,1350,199,0.988401585,0.000280642,0.000277387,6000000,72
25,7290,33.75,1350,198,0.989740965,0.000279403,0.000276537,6000000,72
26,7300.8,33.8,1350,191,0.989860246,0.000272063,0.000269304,6000000,72
27,7311.6,33.85,1350,191,0.989399788,0.000289821,0.000286748,6000000,72
28,7322.4,33.9,1350,182,0.990086519,0.000280349,0.00027757,6000000,72
29,7333.2,33.95,1350,190,0.990679021,0.000284243,0.000281594,6000000,72
30,7344,34,1350,192,0.989997757,0.000293833,0.000290894,6000000,72
31,7354.8,34.05,1350,179,0.990473044,0.00028194,0.000279254,6000000,72
32,7365.6,34.1,1350,186,0.991146885,0.000287836,0.000285288,6000000,72
33,7376.4,34.15,1350,174,0.990491496,0.000278741,0.00027609,6000000,72
34,7387.2,34.2,1350,156,0.990661459,0.000290956,0.000288239,6000000,72
35,7398,34.25,1350,169,0.990716696,0.00028408,0.000281443,6000000,72
36,7408.8,34.3,1350,150,0.990213217,0.000288053,0.000285234,6000000,72
37,7419.6,34.35,1350,167,0.990439924,0.000286789,0.000284048,6000000,72
38,7430.4,34.4,1350,179,0.990228682,0.000278356,0.000275636,6000000,72
39,7441.2,34.45,1350,178,0.989173456,0.000292236,0.000289072,6000000,72
40,7452,34.5,1350,186,0.989276749,0.000282861,0.000279828,6000000,72
41,7462.8,34.55,1350,172,0.98882194,0.000284089,0.000280914,6000000,72
42,7473.6,34.6,1350,182,0.988865411,0.000288336,0.000285125,6000000,72
43,7484.4,34.65,1350,158,0.989530562,0.000287825,0.000284812,6000000,72
44,7495.2,34.7,1350,151,0.989005863,0.000288972,0.000285795,6000000,72
45,7506,34.75,1350,158,0.987933422,0.000289439,0.000285946,6000000,72
46,7516.8,34.8,1350,143,0.988805481,0.00029848,0.000295139,6000000,72
47,7527.6,34.85,1350,174,0.987673101,0.000282379,0.000278898,6000000,72
48,7538.4,34.9,1350,157,0.98727685,0.000297287,0.000293505,6000000,72
49,7549.2,34.95,1350,161,0.987400676,0.000291734,0.000288059,6000000,72
50,7560,35,1350,167,0.98698752,0.000284217,0.000280518,6000000,72
51,7570.8,35.05,1350,178,0.986409326,0.000279435,0.000275637,6000000,72
52,7581.6,35.1,1350,183,0.986181089,0.000297712,0.000293598,6000000,72
