,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,power_normalization_value,threshold
0,7020,32.5,,,0.968067881,0.000269013,0.000260423,10000000,79.2
1,7030.8,32.55,1350,176,0.971279355,0.00027721,0.000269249,10000000,79.2
2,7041.6,32.6,1350,183,0.970744734,0.000295776,0.000287123,10000000,79.2
3,7052.4,32.65,1350,202,0.969375685,0.000288993,0.000280143,10000000,79.2
4,7063.2,32.7,1350,186,0.969157684,0.000283417,0.000274676,10000000,79.2
5,7074,32.75,1350,180,0.966676055,0.000283509,0.000274061,10000000,79.2
6,7084.8,32.8,1350,191,0.964937678,0.000286799,0.000276743,10000000,79.2
7,7095.6,32.85,1350,174,0.962186268,0.000287571,0.000276697,10000000,79.2
8,7106.4,32.9,1350,203,0.961192913,0.000293109,0.000281734,10000000,79.2
9,7117.2,32.95,1350,191,0.958284115,0.000287341,0.000275354,10000000,79.2
10,7128,33,1350,184,0.955785015,0.000293492,0.000280515,10000000,79.2
11,7138.8,33.05,1350,198,0.954599192,0.000313541,0.000299306,10000000,79.2
12,7149.6,33.1,1350,193,0.953729019,0.000295933,0.00028224,10000000,79.2
13,7160.4,33.15,1350,186,0.951340795,0.000287769,0.000273767,10000000,79.2
14,7171.2,33.2,1350,191,0.950427551,0.00029869,0.000283883,10000000,79.2
15,7182,33.25,1350,201,0.948881207,0.000287618,0.000272915,10000000,79.2
16,7192.8,33.3,1350,236,0.947730133,0.000291905,0.000276647,10000000,79.2
17,7203.6,33.35,1350,239,0.946578295,0.000294878,0.000279125,10000000,79.2
18,7214.4,33.4,1350,235,0.946840947,0.000295343,0.000279643,10000000,79.2
19,7225.2,33.45,1350,262,0.944921486,0.000300022,0.000283497,10000000,79.2
20,7236,33.5,1350,252,0.94619143,0.000309839,0.000293167,10000000,79.2
21,7246.8,33.55,1350,264,0.946312241,0.000292818,0.000277097,10000000,79.2
22,7257.6,33.6,1350,271,0.944821996,0.000299736,0.000283198,10000000,79.2
23,7268.4,33.65,1350,318,0.945514507,0.000297655,0.000281437,10000000,79.2
