,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,neutrons_per_cycle,power_normalization_value,DEM_step_increment,threshold,time_step
0,0,0,,,0.968241715,0.000296428,0.000287014,200000,10000000,1,72,0
1,10.8,0.05,1229,251,0.970570193,0.000303679,0.000294742,200000,10000000,1,72,0
2,21.6,0.1,1350,170,0.968811595,0.000286895,0.000277947,200000,10000000,1,72,10.8
3,32.4,0.15,1350,200,0.965908486,0.000289214,0.000279354,200000,10000000,1,72,10.8
4,43.2,0.2,1350,203,0.963445395,0.000294651,0.00028388,200000,10000000,1,72,10.8
5,54,0.25,1350,220,0.961267114,0.000288994,0.0002778,200000,10000000,1,72,10.8
6,64.8,0.3,1350,237,0.959998928,0.000288517,0.000276976,200000,10000000,1,72,10.8
7,75.6,0.35,1350,292,0.958882378,0.000296462,0.000284272,200000,10000000,1,72,10.8
8,86.4,0.4,1350,263,0.959648457,0.000292099,0.000280312,200000,10000000,1,72,10.8
9,97.2,0.45,1350,287,0.959579045,0.000296444,0.000284462,200000,10000000,1,72,10.8
10,108,0.5,1350,307,0.96083246,0.000298844,0.000287139,200000,10000000,1,72,10.8
11,118.8,0.55,1350,319,0.962366519,0.000290255,0.000279332,200000,10000000,1,72,10.8
12,129.6,0.6,1350,315,0.963650603,0.000289117,0.000278608,200000,10000000,1,72,10.8
13,140.4,0.65,1350,343,0.964242749,0.000295316,0.000284756,200000,10000000,1,72,10.8
14,151.2,0.7,1350,348,0.965927827,0.000281238,0.000271656,200000,10000000,1,72,10.8
15,162,0.75,1350,360,0.967110704,0.000296089,0.00028635,200000,10000000,1,72,10.8
16,172.8,0.8,1350,335,0.968476558,0.000291721,0.000282525,200000,10000000,1,72,10.8
17,183.6,0.85,1350,355,0.969681562,0.00029817,0.00028913,200000,10000000,1,72,10.8
18,194.4,0.9,1350,343,0.970927662,0.000275396,0.00026739,200000,10000000,1,72,10.8
19,205.2,0.95,1350,305,0.971737544,0.000301406,0.000292887,200000,10000000,1,72,10.8
20,216,1,1350,327,0.971717184,0.000278814,0.000270929,200000,10000000,1,72,10.8
21,226.8,1.05,1350,327,0.97289807,0.000295459,0.000287451,200000,10000000,1,72,10.8
22,237.6,1.1,1350,321,0.973016038,0.000289979,0.000282154,200000,10000000,1,72,10.8
23,248.4,1.15,1350,292,0.973497729,0.000284077,0.000276549,200000,10000000,1,72,10.8
24,259.2,1.2,1350,291,0.973105575,0.000287494,0.000279762,200000,10000000,1,72,10.8
25,270,1.25,1350,279,0.973200543,0.000283923,0.000276314,200000,10000000,1,72,10.8
26,280.8,1.3,1350,296,0.974602793,0.000268627,0.000261804,200000,10000000,1,72,10.8
27,291.6,1.35,1350,291,0.973915783,0.000277993,0.000270742,200000,10000000,1,72,10.8
28,302.4,1.4,1350,283,0.973017504,0.000288001,0.00028023,200000,10000000,1,72,10.8
29,313.2,1.45,1350,288,0.972951198,0.000291068,0.000283195,200000,10000000,1,72,10.8
30,324,1.5,1350,318,0.972941387,0.000281822,0.000274197,200000,10000000,1,72,10.8
31,334.8,1.55,1350,306,0.973726676,0.000298065,0.000290234,200000,10000000,1,72,10.8
32,345.6,1.6,1350,292,0.97330393,0.000290801,0.000283037,200000,10000000,1,72,10.8
33,356.4,1.65,1350,279,0.973633549,0.000289562,0.000281927,200000,10000000,1,72,10.8
34,367.2,1.7,1350,280,0.972952395,0.000297394,0.000289351,200000,10000000,1,72,10.8
35,378,1.75,1350,290,0.973107391,0.000270629,0.000263351,200000,10000000,1,72,10.8
36,388.8,1.8,1350,276,0.973596492,0.000279827,0.000272439,200000,10000000,1,72,10.8
37,399.6,1.85,1350,280,0.973299848,0.000270982,0.000263747,200000,10000000,1,72,10.8
38,410.4,1.9,1350,259,0.972929168,0.000289467,0.00028163,200000,10000000,1,72,10.8
39,421.2,1.95,1350,287,0.972661074,0.000280684,0.00027301,200000,10000000,1,72,10.8
40,432,2,1350,263,0.972422849,0.000303321,0.000294956,200000,10000000,1,72,10.8
41,442.8,2.05,1350,299,0.971643481,0.000299507,0.000291014,200000,10000000,1,72,10.8
42,453.6,2.1,1350,289,0.971352766,0.000287274,0.000279044,200000,10000000,1,72,10.8
43,464.4,2.15,1350,304,0.971357991,0.000276274,0.000268361,200000,10000000,1,72,10.8
44,475.2,2.2,1350,321,0.971383723,0.000287206,0.000278987,200000,10000000,1,72,10.8
45,486,2.25,1350,282,0.972279872,0.000293291,0.000285161,200000,10000000,1,72,10.8
46,496.8,2.3,1350,326,0.97198022,0.000292823,0.000284618,200000,10000000,1,72,10.8
47,507.6,2.35,1350,301,0.971935441,0.000285092,0.000277091,200000,10000000,1,72,10.8
48,518.4,2.4,1350,341,0.973609819,0.000283016,0.000275547,200000,10000000,1,72,10.8
49,529.2,2.45,1350,299,0.973731595,0.000296226,0.000288445,200000,10000000,1,72,10.8
50,540,2.5,1350,384,0.973834242,0.000283969,0.000276539,200000,10000000,1,72,10.8
51,550.8,2.55,1350,383,0.975283978,0.000289323,0.000282172,200000,10000000,1,64.8,10.8
52,561.6,2.6,1350,399,0.976162003,0.00027435,0.00026781,200000,10000000,1,64.8,10.8
53,572.4,2.65,1350,391,0.977043136,0.00028915,0.000282512,200000,10000000,1,64.8,10.8
54,583.2,2.7,1350,397,0.978869133,0.000283293,0.000277306,200000,10000000,1,64.8,10.8
55,594,2.75,1350,383,0.979851211,0.000296952,0.000290968,200000,10000000,1,64.8,10.8
56,604.8,2.8,1350,413,0.981164474,0.000282751,0.000277425,200000,10000000,1,64.8,10.8
57,615.6,2.85,1350,342,0.983026534,0.000289464,0.000284551,200000,10000000,1,64.8,10.8
58,626.4,2.9,1350,372,0.983798736,0.000286413,0.000281773,200000,10000000,1,64.8,10.8
59,637.2,2.95,1350,366,0.985781141,0.000284567,0.000280521,200000,10000000,1,64.8,10.8
60,648,3,1350,369,0.986715748,0.000288251,0.000284422,200000,10000000,1,64.8,10.8
61,658.8,3.05,1350,346,0.98800241,0.00028003,0.000276671,200000,10000000,1,64.8,10.8
62,669.6,3.1,1350,331,0.988090469,0.000284487,0.000281099,200000,10000000,1,64.8,10.8
63,680.4,3.15,1350,326,0.989531332,0.000295011,0.000291923,200000,10000000,1,64.8,10.8
64,691.2,3.2,1350,327,0.988177051,0.000292308,0.000288852,200000,10000000,1,64.8,10.8
65,702,3.25,1350,353,0.98787086,0.000287936,0.000284443,200000,10000000,1,64.8,10.8
66,712.8,3.3,1350,330,0.988456226,0.000281081,0.000277836,200000,10000000,1,64.8,10.8
67,723.6,3.35,1350,331,0.989007696,0.000277039,0.000273994,200000,10000000,1,64.8,10.8
68,734.4,3.4,1350,305,0.988961694,0.000273289,0.000270272,200000,10000000,1,64.8,10.8
69,745.2,3.45,1350,340,0.988778636,0.00027722,0.00027411,200000,10000000,1,64.8,10.8
