,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370,discard_step
103,3.0,11169,50.53743997784482,1,1,43.2,0,33.522509162770945,74.69252118106299,9.831126697437993e+19,2.0028870848274473e+18,0.020372914992026325,4.515035556931776e+19,1.3879481529103508e+18,0.030740580786334733,2317941898.4197106,156127387.98786303,0.06735604032797589,0.0038163320031493076,0.01922512927733501,1.8109719739316173e-05,4.5514998032344435e-09,2.525834861986346e-08,9.125106891794296e-06,4
241,3.0,8875,56.35570637937922,1,1,43.2,0,32.69044733537113,73.13239104246286,8.346940085012215e+19,1.7076332696476846e+18,0.02045819488645803,4.198380613323204e+19,1.295362262472549e+18,0.030853854897334155,2083937764.7016063,144926207.91752264,0.06954440308742821,0.003834252455687562,0.019225208965879242,1.8523977651364374e-05,4.327211910121311e-09,1.1311364439878359e-08,8.203236017294275e-06,4
678,3.0,2657,96.39784087046799,1,1,43.2,0,34.15120006636604,73.47065875029429,6.031017934851107e+19,1.3791885828647642e+18,0.022868255371865567,2.0304704080495325e+19,8.308365625069709e+17,0.04091842753350301,1596508597.9861326,114431622.34197555,0.07167617041732306,0.0038710954336450697,0.019236310050029827,8.222268972784309e-06,5.030834413419182e-10,1.794331706895432e-09,6.298029605392694e-06,4
769,3.0,12358,32.10166908055581,1,1,43.2,0,19.04966717449259,72.27549403810102,7.531644508851724e+19,1.59194908183662e+18,0.02113680591224995,3.786471388283421e+19,1.1191012474333626e+18,0.029555254290214033,1838928847.7531796,125062235.4728345,0.06800819706843834,0.0038534305269509236,0.01922738127263915,1.6608185442930327e-05,2.1876984259992157e-09,1.546984479920113e-09,7.240265337344312e-06,4
799,3.0,15103,27.034783031640917,1,1,43.2,0,11.177180712015694,76.87708132781236,1.0338176009867174e+20,2.0096827376776927e+18,0.019439432408188545,5.2315300992450585e+19,1.478254464556585e+18,0.028256636901886623,2385141263.383742,152866326.1138223,0.0640910995338509,0.0038108663266812944,0.019222936965354112,2.042188870370481e-05,1.656872964227467e-08,1.7859404377774353e-08,9.401784656093325e-06,4
908,3.0,8977,55.263916826756024,1,1,43.2,0,32.10517103024082,72.45176072366762,8.121455918303194e+19,1.7086529511058417e+18,0.021038751774236416,3.897686242475842e+19,1.2299874622276326e+18,0.03155686183314577,2000115931.2821345,138089651.84963775,0.06904082392920001,0.0038408139633113354,0.019232578558427936,1.16658595591749e-05,1.06933014076045e-09,6.6862276375291935e-09,7.877134176713271e-06,4
956,3.0,8848,57.09058083806188,1,1,43.2,0,35.646354502296454,72.63956567365116,8.453988095919396e+19,1.8294255010680207e+18,0.021639792726358995,4.212559558273195e+19,1.3064340279302075e+18,0.03101283221894051,2140978044.850529,144687926.29173914,0.06758029426772587,0.003830462253546952,0.019228366882278164,1.5445183071531027e-05,4.887682147407107e-09,1.4614516663851107e-08,8.452957973324453e-06,4
1310,3.0,11318,45.99878590374467,1,1,43.2,0,31.88969565540932,75.51142355228615,9.766897711942417e+19,2.0009010037553848e+18,0.020486556353598286,4.743998484906961e+19,1.4205774589021522e+18,0.02994472834301532,2487246882.3891683,163086224.50636226,0.06556897333396472,0.0038039309099426265,0.019223282422232913,1.9756594328308056e-05,7.34645024661389e-09,2.603726705992785e-08,9.811003092615012e-06,4
2042,3.0,12754,31.278736225977198,1,1,43.2,0,20.841943457799527,73.71568596373007,8.725476831441573e+19,1.762526142422133e+18,0.02019976875155989,4.177089994435056e+19,1.239531951859695e+18,0.02967453307233185,2015922282.758424,134474709.18919894,0.06670629633856455,0.0038392738303642832,0.019225468884665475,1.840384381066235e-05,3.032276152369789e-09,5.589418118553801e-09,7.966024019965494e-06,4
2092,3.0,12772,29.892567100160974,1,1,43.2,0,20.00473918672686,76.04614207034732,8.57801837227447e+19,1.7596362407884314e+18,0.020513318629345186,4.2822532605019005e+19,1.294213506975536e+18,0.030222722203587,2148291537.1110725,139566386.24499607,0.0649662226164512,0.003829632357355312,0.019224202983824726,1.9637525300585997e-05,4.265034980516275e-09,7.062111714496831e-09,8.471504012106092e-06,4
2691,3.0,7885,60.64256714811283,1,1,43.2,0,33.54929269745804,76.70230061940974,8.57881212422885e+19,1.8320751285795604e+18,0.021355813626053103,3.987149558350341e+19,1.2638579737428012e+18,0.031698283579453056,2213308880.291807,149945938.0005433,0.06774740721266799,0.0038242606914483225,0.019229968658534168,1.3906414172081107e-05,5.997832919992707e-09,1.232113681734168e-08,8.72289992278089e-06,4
3038,3.0,11057,45.64372438154704,1,1,43.2,0,30.06012818678869,76.3180362821679,8.83450548735357e+19,1.8167991340349916e+18,0.020564808484591537,4.5759476794954695e+19,1.3206085335179922e+18,0.028859782191906498,2111599214.5923083,144357388.23308975,0.06836400924735198,0.0038314696374871695,0.01922566947249255,1.7997396176793212e-05,5.677607309171402e-09,1.671180037430977e-08,8.330291724629498e-06,4
3700,3.0,5536,77.34386061857282,1,1,43.2,0,39.654379349653134,73.19997817550687,8.43218886224326e+19,1.8205680892768924e+18,0.02159069393510426,3.656188412656649e+19,1.2376139835433057e+18,0.03384984152509893,2139584324.8206062,145991118.26230565,0.06823340242714962,0.0038300737659437653,0.019233482223226822,1.0663192757260534e-05,4.8395558386356994e-09,1.5706677862138436e-08,8.432317417513455e-06,4
4091,3.0,13443,29.863894626331433,1,1,43.2,0,17.281295498873387,77.216407650221,9.019544726261595e+19,1.7914428467743698e+18,0.01986178794100713,4.592506532275396e+19,1.2968138748738232e+18,0.028237605450531736,2119600407.2876632,138986228.59337336,0.06557190124870113,0.003831522333872539,0.019225074195804142,1.857226887110321e-05,3.625816405042902e-09,6.342647608637175e-09,8.365394635063911e-06,4
4706,3.0,3103,90.15344422488958,1,1,43.2,0,35.27910077672641,76.1389471786616,6.935191589004844e+19,1.5604241830235092e+18,0.022500087603887237,2.2446014449347723e+19,9.299155632426321e+17,0.04142898354365335,1834981864.9675574,127811308.82705133,0.0696526277818615,0.0038540698053006806,0.019236361473836543,8.05361381665146e-06,1.6201912337521205e-09,6.618438216936584e-09,7.220350665194832e-06,4
5389,3.0,2642,96.35801652246685,1,1,43.2,0,33.95160912661741,73.433032513215,6.4376009681663025e+19,1.486146126928847e+18,0.023085402998380678,2.0477595087375974e+19,9.033725008025132e+17,0.044115165718821354,1679843684.8614514,121371699.0295893,0.07225178159335681,0.0038657656634109487,0.019234348571790207,1.0140010874379493e-05,9.166840645003451e-10,3.886438393338972e-09,6.620199814590224e-06,4
