,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
24,3.0,8511,71.69976966063956,1,2,86.39999999999999,0,47.31260492610386,,1.848584063448952e+20,3.913501825292479e+18,0.02117026703124853,7.460583190009961e+19,2.420003773884091e+18,0.03243719307526226,,,,,,,,,
44,3.0,21856,77.7052929755443,1,2,86.39999999999999,0,17.491447635949378,59.94321060541038,2.348298714549577e+20,4.463599502231168e+18,0.0190078011565378,1.1498622329753177e+20,3.1806282785470397e+18,0.027660950915111178,5506760669.216604,337488141.7602252,0.06128614661734273,0.0035781177313912323,0.019191672456237485,4.630380077890624e-05,1.25968700384632e-07,2.0453378034419696e-08,2.167633371806268e-05
58,3.0,3516,100.66392868381023,1,2,86.39999999999999,0,51.68929073151087,,1.852025897040801e+20,3.9382492839002255e+18,0.021264547597270797,4.958404613851739e+19,1.9860587504989445e+18,0.040054390578588825,,,,,,,,,
59,3.0,18395,65.60367998091684,1,2,86.39999999999999,0,34.944978139731944,,2.2456550739365842e+20,4.318268080135954e+18,0.019229436124249145,1.0088127161224479e+20,2.8640211160121006e+18,0.0283900179908564,,,,,,,,,
66,3.0,20984,71.35782074727882,0,1,0.0,9,16.035396675992292,72.3102704418509,0.0,0.0,0.01928793758406963,0.0,0.0,0.028470091935964947,0.0,0.0,0.06207075050370396,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
92,3.0,11850,65.49255500376049,1,2,86.39999999999999,0,47.66488733132294,,1.9497615867776185e+20,4.0377363760238684e+18,0.020708872322677447,8.13709632496528e+19,2.558442632036627e+18,0.03144171495410611,,,,,,,,,
96,3.0,16621,65.40637652064738,1,2,86.39999999999999,0,40.09504557681814,,2.118489504238974e+20,4.1551706342066263e+18,0.019613836301253188,9.736549734523907e+19,2.865729930270175e+18,0.029432704689104146,,,,,,,,,
109,3.0,6477,78.77989768208089,1,2,86.39999999999999,0,46.424178920661745,,1.7150492264204193e+20,3.6313326508161485e+18,0.02117334356865848,6.071086132849466e+19,2.0654877660735693e+18,0.034021717380974335,,,,,,,,,
116,3.0,18851,65.50322280554823,1,2,86.39999999999999,0,26.32305925814105,31.256805532404456,1.9758013658424833e+20,3.788128356707987e+18,0.019172617360210833,1.0360313361111767e+20,2.879519713870438e+18,0.027793751149255162,4535366037.389332,288692739.25502414,0.06365368018260391,0.0036499704665763277,0.01920136659592196,3.870607085025682e-05,4.245181190342725e-08,5.281056177567231e-16,1.7861423656534e-05
180,3.0,20745,68.59294421729227,1,2,86.39999999999999,0,11.492404730054531,,2.151188776255263e+20,4.0939159287851965e+18,0.019030946860515822,9.665760010228516e+19,2.7497656670571935e+18,0.02844851997305263,,,,,,,,,
