,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
43,3.0,17887,50.94723835338699,1,2,64.8,0,18.367051493160783,47.608840319713956,1.6011998953529685e+20,3.052733421476688e+18,0.019065286166557883,8.224369841452735e+19,2.3081406806571356e+18,0.0280646508504952,3714383230.389187,231910511.08816266,0.06243580608236363,0.0037103435468155577,0.019215381982458552,2.6642655871232646e-05,3.2974007245838317e-08,1.2340875913979094e-08,1.463254887792887e-05
55,3.0,3159,98.6226125767781,1,2,64.8,0,43.47520850640784,66.16506225848252,1.1901441224496136e+20,2.546124905515266e+18,0.021393416624826123,3.971055456999695e+19,1.545839877686509e+18,0.03892768294035506,3004279815.8380995,209986872.33539608,0.06989591023724812,0.0037663521256147275,0.019226165057351582,1.7541156467038853e-05,1.5070978111926427e-08,4.195525297531037e-09,1.183642927629751e-05
69,3.0,12159,51.2616298642946,1,2,64.8,0,35.69720692846091,63.92352232191638,1.3116171033986407e+20,2.652463098879224e+18,0.020222846225519665,6.35738588449967e+19,1.9420242535887258e+18,0.03054752832172251,3196865596.816305,211149941.10986415,0.06604905170869371,0.003750144080834191,0.019220349060416926,2.2457940228800238e-05,6.5048509530752654e-09,2.276048436213668e-09,1.2598996179635527e-05
75,3.0,5026,85.43701782423223,1,2,64.8,0,42.19043012743763,69.1189543311109,1.1952635207430483e+20,2.537734594151032e+18,0.021231590775676164,4.981232963730003e+19,1.6936214226732086e+18,0.03400004446700292,3134676514.81539,212479635.48322088,0.06778359249478551,0.003756394984640417,0.019225701887012146,1.7670673734003037e-05,1.8547090888553016e-08,2.9127656537303525e-09,1.2344030660162459e-05
80,3.0,5635,81.70644747565518,1,2,64.8,0,43.750004041489944,19.750623692845075,1.2817300829588691e+20,2.7752722475119933e+18,0.021652548258095712,5.930745924778174e+19,1.9877120475644536e+18,0.03351538023674146,3273073361.0219064,223361667.9502263,0.06824218198411819,0.00374545399798231,0.019222008151205294,2.1026583086920752e-05,8.716979603455823e-09,1.1201820982419653e-08,1.2922698167374385e-05
173,3.0,7723,70.0941266093208,1,2,64.8,0,43.35710409328966,16.882623113454382,1.3592282189441904e+20,2.8075731275796157e+18,0.020655641844755535,6.735891528557033e+19,2.0611404879747297e+18,0.030599371727357202,3231025547.5329366,219133959.92713287,0.06782179735299634,0.0037473691247979636,0.019219357607048067,2.3428226299200997e-05,2.6037020516771714e-08,9.669454305418354e-09,1.2749052417337566e-05
178,3.0,16153,47.31901022412418,1,2,64.8,0,25.89772401924846,64.46613785763637,1.5465278257345433e+20,2.996642790255774e+18,0.019376585020916,7.89075057455962e+19,2.2252585859176727e+18,0.02820084813087459,3716727670.5081534,231983312.28889707,0.062416010225785565,0.003711233607859251,0.019211529854934902,3.0471419811130283e-05,2.8160052705284715e-08,1.1412449419213734e-08,1.4634083189254087e-05
186,3.0,17730,47.702254912506476,1,2,64.8,0,14.987079524491906,69.36504398639893,1.6386657107392623e+20,3.0973116872737556e+18,0.018901424903047765,8.340406314450747e+19,2.2862190580152932e+18,0.027411363089759146,3755725277.2389393,234723976.8872985,0.062497642814774323,0.0037092143253368696,0.019209222630000918,3.2309068986619604e-05,8.268807367442547e-08,1.3055646437538344e-08,1.4796689984887007e-05
217,3.0,3150,98.58263543122374,1,2,64.8,0,46.25945993645739,27.35863263590882,1.3601161283516316e+20,2.878387593773966e+18,0.021162807599836173,4.566076917274697e+19,1.7131865221813071e+18,0.03751987873221894,3508871263.5960884,230096277.6189103,0.06557558266845467,0.0037272540032931003,0.019227659664478702,1.577094196874526e-05,1.1173484528356232e-08,9.938084413582142e-09,1.3831739489685348e-05
253,3.0,8110,68.7500891885035,1,2,64.8,0,42.79103641760744,46.11269193785228,1.3363792968309495e+20,2.7954630387561764e+18,0.02091818576795716,6.12159285336516e+19,1.9420986926993444e+18,0.03172538159952494,3406687001.0308847,227112364.372852,0.06666663661913359,0.0037354013679853698,0.01921944765773465,2.3400653637432116e-05,1.744343764203685e-08,1.2254492896914891e-08,1.3409063526633701e-05
