t,['0.0:7.21e+18'],['7.21e+18:1.44e+19'],['1.44e+19:2.16e+19'],['2.16e+19:2.88e+19'],['2.88e+19:3.6e+19'],['3.6e+19:4.32e+19'],['4.32e+19:5.04e+19'],['5.04e+19:5.77e+19'],['5.77e+19:6.49e+19'],['6.49e+19:7.21e+19'],['7.21e+19:7.93e+19'],['7.93e+19:8.65e+19'],['8.65e+19:9.37e+19'],['9.37e+19:1.01e+20'],['1.01e+20:1.08e+20'],['1.08e+20:1.15e+20'],['1.15e+20:1.23e+20'],['1.23e+20:1.3e+20'],['1.3e+20:1.37e+20'],['1.37e+20:1.44e+20'],['1.44e+20:1.51e+20'],['1.51e+20:1.59e+20'],['1.59e+20:1.66e+20'],['1.66e+20:1.73e+20'],['1.73e+20:1.8e+20'],['1.8e+20:1.87e+20'],['1.87e+20:1.95e+20'],['1.95e+20:2.02e+20'],['2.02e+20:2.09e+20'],['2.09e+20:2.16e+20'],['2.16e+20:2.23e+20'],['2.23e+20:2.31e+20'],['2.31e+20:2.38e+20'],['2.38e+20:2.45e+20'],['2.45e+20:2.52e+20'],['2.52e+20:2.59e+20'],['2.59e+20:2.67e+20'],['2.67e+20:2.74e+20'],['2.74e+20:2.81e+20'],['2.81e+20:2.88e+20'],['2.88e+20:2.95e+20'],['2.95e+20:3.03e+20'],['3.03e+20:3.1e+20'],['3.1e+20:3.17e+20'],['3.17e+20:3.24e+20'],['3.24e+20:3.31e+20'],['3.31e+20:3.39e+20'],['3.39e+20:3.46e+20'],['3.46e+20:3.53e+20'],['3.53e+20:3.6e+20'],['3.6e+20:3.68e+20'],['3.68e+20:3.75e+20'],['3.75e+20:3.82e+20'],['3.82e+20:3.89e+20'],['3.89e+20:3.96e+20'],['3.96e+20:4.04e+20'],['4.04e+20:4.11e+20'],['4.11e+20:4.18e+20'],['4.18e+20:4.25e+20'],['4.25e+20:4.32e+20'],['4.32e+20:4.4e+20'],['4.4e+20:4.47e+20'],['4.47e+20:4.54e+20'],['4.54e+20:4.61e+20'],['4.61e+20:4.68e+20'],['4.68e+20:4.76e+20'],['4.76e+20:4.83e+20'],['4.83e+20:4.9e+20'],['4.9e+20:4.97e+20'],['4.97e+20:5.04e+20'],['5.04e+20:5.12e+20'],['5.12e+20:5.19e+20'],['5.19e+20:5.26e+20'],['5.26e+20:5.33e+20'],['5.33e+20:5.4e+20'],['5.4e+20:5.48e+20'],['5.48e+20:5.55e+20'],['5.55e+20:5.62e+20'],['5.62e+20:5.69e+20'],['5.69e+20:5.77e+20'],['5.77e+20:5.84e+20'],['5.84e+20:5.91e+20'],['5.91e+20:5.98e+20'],['5.98e+20:6.05e+20'],['6.05e+20:6.13e+20'],['6.13e+20:6.2e+20'],['6.2e+20:6.27e+20'],['6.27e+20:6.34e+20'],['6.34e+20:6.41e+20'],['6.41e+20:6.49e+20'],['6.49e+20:6.56e+20'],['6.56e+20:6.63e+20'],['6.63e+20:6.7e+20'],['6.7e+20:6.77e+20'],['6.77e+20:6.85e+20'],['6.85e+20:6.92e+20'],['6.92e+20:6.99e+20'],['6.99e+20:7.06e+20'],['7.06e+20:7.13e+20'],['7.13e+20:7.21e+20'],['7.21e+20:7.28e+20'],['7.28e+20:7.35e+20'],['7.35e+20:7.42e+20'],['7.42e+20:7.49e+20'],['7.49e+20:7.57e+20'],['7.57e+20:7.64e+20'],['7.64e+20:7.71e+20'],['7.71e+20:7.78e+20'],['7.78e+20:7.85e+20'],['7.85e+20:7.93e+20'],['7.93e+20:8e+20'],['8e+20:8.07e+20'],['8.07e+20:8.14e+20'],['8.14e+20:8.22e+20'],['8.22e+20:8.29e+20'],['8.29e+20:8.36e+20'],['8.36e+20:8.43e+20'],['8.43e+20:8.5e+20'],['8.5e+20:8.58e+20'],['8.58e+20:8.65e+20'],['8.65e+20:8.72e+20'],['8.72e+20:8.79e+20'],['8.79e+20:8.86e+20'],['8.86e+20:8.94e+20'],['8.94e+20:9.01e+20'],['9.01e+20:9.08e+20'],['9.08e+20:9.15e+20'],['9.15e+20:9.22e+20'],['9.22e+20:9.3e+20'],['9.3e+20:9.37e+20'],['9.37e+20:9.44e+20'],['9.44e+20:9.51e+20'],['9.51e+20:9.58e+20'],['9.58e+20:9.66e+20'],['9.66e+20:9.73e+20'],['9.73e+20:9.8e+20'],['9.8e+20:9.87e+20'],['9.87e+20:9.94e+20'],['9.94e+20:1e+21'],['1e+21:1.01e+21'],['1.01e+21:1.02e+21'],['1.02e+21:1.02e+21'],['1.02e+21:1.03e+21'],['1.03e+21:1.04e+21'],['1.04e+21:1.04e+21'],['1.04e+21:1.05e+21'],['1.05e+21:1.06e+21'],['1.06e+21:1.07e+21'],['1.07e+21:1.07e+21'],['1.07e+21:1.08e+21'],['1.08e+21:1.09e+21'],['1.09e+21:1.1e+21'],['1.1e+21:1.1e+21'],['1.1e+21:1.11e+21'],['1.11e+21:1.12e+21'],['1.12e+21:1.12e+21'],['1.12e+21:1.13e+21'],['1.13e+21:1.14e+21'],['1.14e+21:1.15e+21'],['1.15e+21:1.15e+21'],['1.15e+21:1.16e+21'],['1.16e+21:1.17e+21'],['1.17e+21:1.17e+21'],['1.17e+21:1.18e+21'],['1.18e+21:1.19e+21'],['1.19e+21:1.2e+21'],['1.2e+21:1.2e+21'],['1.2e+21:1.21e+21'],['1.21e+21:1.22e+21'],['1.22e+21:1.23e+21'],['1.23e+21:1.23e+21'],['1.23e+21:1.24e+21'],['1.24e+21:1.25e+21'],['1.25e+21:1.25e+21'],['1.25e+21:1.26e+21'],['1.26e+21:1.27e+21'],['1.27e+21:1.28e+21'],['1.28e+21:1.28e+21'],['1.28e+21:1.29e+21'],['1.29e+21:1.3e+21'],['1.3e+21:1.3e+21'],['1.3e+21:1.31e+21'],['1.31e+21:1.32e+21'],['1.32e+21:1.33e+21'],['1.33e+21:1.33e+21'],['1.33e+21:1.34e+21'],['1.34e+21:1.35e+21'],['1.35e+21:1.35e+21'],['1.35e+21:1.36e+21'],['1.36e+21:1.37e+21'],['1.37e+21:1.38e+21'],['1.38e+21:1.38e+21'],['1.38e+21:1.39e+21'],['1.39e+21:1.4e+21'],['1.4e+21:1.41e+21'],['1.41e+21:1.41e+21'],['1.41e+21:1.42e+21'],['1.42e+21:1.43e+21'],['1.43e+21:1.43e+21'],['1.43e+21:1.44e+21'],['1.44e+21:1.45e+21']
50.0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14,15,19,19,13,15,8,4,13,14,8,5,12,6,4,4,11,4,0,5,6,3,4,5,3,5,3,3,2,3,1,2,4,0,2,1,1,1,2,1,0,1,0,1,2,3,2,1,1,0,2,0,1,2,0,4,5,1,3,9,4,8,6,4,7,6,9,3,6,4,5,6,6,4,8,6,4,2,4,1,6,2,1,3,4,0,3,3,1,2,2,2,1,5,2,2,3,1,0,2,1,0,1,5,2,0,2,0,1,2,1,2,1,3,4,3,1,1,3,1,2,1,2,0,1,1,1,0,0,0,0,4,3,1,2,0,1,1,1,0,0,0,0,0,0
51.0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,18,13,11,9,13,9,4,11,14,7,7,8,5,5,6,5,1,5,1,4,6,5,6,6,2,0,3,2,3,1,2,4,0,4,2,1,1,1,0,3,0,2,2,1,2,2,3,1,0,1,1,1,2,1,0,2,3,8,6,6,8,5,5,4,5,3,8,4,3,13,4,5,8,2,5,6,4,6,6,2,2,5,5,3,7,2,4,0,6,4,4,4,3,2,0,5,1,1,0,4,5,0,3,2,0,2,1,4,1,2,1,4,3,4,0,0,3,2,1,2,1,2,0,6,2,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
52.0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,14,17,22,20,14,9,17,6,11,3,8,8,8,5,8,7,2,2,1,8,3,2,6,1,3,2,2,1,1,3,6,6,2,1,4,2,0,2,2,3,2,3,2,1,3,2,0,2,0,1,2,0,1,1,2,4,5,2,3,5,6,6,6,5,8,6,4,1,3,5,4,7,4,3,5,10,4,3,10,3,4,6,4,6,0,3,4,5,1,5,3,2,1,2,3,1,1,0,3,1,1,0,2,4,2,2,3,3,0,2,1,0,2,3,1,1,1,2,1,1,4,5,4,3,3,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53.0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,16,9,15,11,12,13,12,7,6,4,4,5,2,8,6,4,3,6,5,4,5,5,4,1,2,2,1,3,3,4,4,1,2,6,1,0,5,2,6,4,1,2,1,0,1,0,2,2,2,1,2,2,0,1,3,1,2,8,4,5,8,4,7,4,4,8,7,10,6,4,0,5,4,3,3,4,3,3,6,3,7,4,6,6,5,2,1,3,1,5,2,4,2,3,2,4,2,5,1,0,3,2,1,1,2,3,0,1,2,3,1,2,2,2,2,2,6,3,4,4,2,2,2,1,0,1,2,3,2,1,2,4,0,2,1,0,0,0,0,0,0
54.0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,11,14,20,25,16,7,10,9,4,6,14,12,2,4,4,4,8,5,5,3,2,6,2,4,5,4,3,3,5,1,3,5,2,0,3,1,1,2,1,2,2,3,1,3,1,0,1,1,1,2,0,1,1,1,3,3,2,1,3,7,8,3,10,8,5,11,4,10,4,8,3,5,6,7,5,2,1,4,4,5,2,2,7,2,3,3,2,4,4,2,4,1,2,3,2,3,1,4,2,1,2,2,1,3,1,1,4,1,2,1,0,2,2,1,0,3,4,3,0,3,3,2,7,0,1,3,3,2,1,1,1,1,2,3,2,2,0,0,0,0,0,0
55.0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,4,13,17,11,7,10,13,9,9,7,6,6,3,5,4,4,2,10,2,5,3,3,3,4,3,4,2,2,2,3,1,3,2,3,1,1,2,1,2,0,4,1,3,0,3,1,1,1,3,1,0,0,0,3,1,4,3,2,1,6,9,6,4,7,6,3,7,8,7,10,4,6,3,8,6,6,5,5,3,5,2,7,3,6,4,3,2,4,5,6,1,4,2,6,6,2,4,3,2,3,1,3,3,4,1,5,2,2,1,0,0,2,2,6,3,7,2,7,3,3,2,2,2,2,1,1,3,5,4,3,2,2,0,1,0,0,1,0,0,0,0,0
56.0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,15,23,11,18,11,15,9,9,8,18,4,7,8,6,6,11,9,4,4,6,4,3,1,4,3,5,2,5,5,1,1,2,3,2,1,3,2,4,0,1,2,1,1,4,1,2,1,2,3,0,0,1,1,2,0,3,3,1,2,3,7,5,5,6,8,8,5,7,4,4,5,6,6,6,5,2,5,4,7,5,6,5,8,4,4,2,6,1,5,3,1,2,5,3,3,1,1,2,1,1,5,3,0,3,4,2,2,2,4,0,3,5,3,3,4,2,2,4,2,1,1,3,4,3,2,4,2,3,2,0,3,0,2,2,2,1,1,0,0,1,0,0,0
57.0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,12,13,12,17,11,10,10,9,12,8,6,7,8,8,4,6,7,5,6,7,3,3,5,5,2,2,2,9,3,4,2,2,2,4,0,0,0,4,0,1,1,1,1,1,0,3,3,0,1,1,1,0,0,1,2,1,3,3,3,4,3,3,7,9,5,3,7,5,3,7,6,7,8,7,4,2,9,3,5,3,3,1,3,2,5,0,1,6,5,3,1,6,2,4,6,4,1,3,3,0,5,2,4,2,5,1,3,0,2,2,0,0,1,3,3,2,4,2,5,1,3,3,2,6,1,1,6,2,3,5,2,1,3,4,0,0,0,1,0,0,0,0
58.0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,13,16,14,16,11,14,6,12,12,4,5,3,10,5,8,10,8,4,3,2,2,1,6,2,3,4,4,3,4,0,4,3,1,4,1,2,3,3,0,2,3,4,3,1,2,2,1,2,1,1,0,0,1,1,1,0,1,6,4,4,7,5,1,3,7,10,4,9,4,5,12,5,10,4,5,9,4,5,3,3,5,2,6,3,1,3,5,3,1,2,4,5,3,3,4,6,8,2,3,2,2,2,0,4,2,4,3,1,3,4,1,2,4,3,5,4,4,2,6,2,4,1,3,2,10,1,4,4,4,0,4,4,0,2,1,3,0,0,1,0,0,0
59.0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,15,11,13,13,15,7,8,8,4,5,9,6,5,4,4,7,5,4,4,3,2,5,6,3,1,2,1,6,0,4,1,3,3,2,0,4,4,0,3,3,0,0,0,2,1,3,3,0,0,0,1,1,0,3,1,4,2,0,7,6,2,5,5,6,5,5,7,4,5,7,6,6,6,1,9,4,8,5,5,2,4,3,4,5,3,7,4,5,1,4,4,1,2,2,5,1,7,2,6,3,1,3,1,1,3,3,5,2,3,1,3,1,2,3,2,3,6,4,4,2,8,5,1,4,6,4,0,2,4,5,1,1,2,1,1,3,0,0,0,0,0
